"source","stockid","lme","comm_name","species","year","msy_mt","bbmsy","uumsy"
"RAM","ACADRED2J3K","Labrador - Newfoundland","Acadian redfish","Sebastes fasciatus",2009,3000,0.1131174487507,0.00281463763573499
"RAM","ACADRED3LNO-UT12","Labrador - Newfoundland","Acadian redfish","Sebastes fasciatus",2009,116000,2.40270733419603,0.0514942990296279
"RAM","ACADREDGOMGB","Northeast U.S. Continental Shelf","Acadian redfish","Sebastes fasciatus",2014,10466,1.173909331512,0.394736842105263
"RAM","ACADREDUT3","Scotian Shelf","Acadian redfish","Sebastes fasciatus",2009,131000,3.16151173106596,0.058193340972672
"RAM","ACMACKSARG","Patagonian Shelf","Argentine chub mackerel","Scomber colias",2014,8745.165542,1.52808988764045,0.2125
"RAM","AFLONCH","Humboldt Current","Alfonsino","Beryx splendens",2011,1277.516865,0.641185408017013,0.249046185947734
"RAM","ALBAIO","Indian Ocean","Albacore tuna","Thunnus alalunga",2014,38800,1.8,0.846
"RAM","ALBAMED","Mediterranean Sea","Albacore tuna","Thunnus alalunga",2014,28900,0.963,1.37
"RAM","ALBANATL","North Atlantic Ocean","Albacore tuna","Thunnus alalunga",2014,37897.71314,1.34,0.538
"RAM","ALBANPAC","North Pacific Ocean","Albacore tuna","Thunnus alalunga",2014,105571,3.26,0.662
"RAM","ALBASATL","South Atlantic Ocean","Albacore tuna","Thunnus alalunga",2013,25147.5,1.15,0.565
"RAM","ALBASPAC","South Pacific Ocean","Albacore tuna","Thunnus alalunga",2013,76800,2.86,0.47
"RAM","ALPLAICBSAI","East Bering Sea","Alaska plaice","Pleuronectes quadrituberculatus",2010,26295.89301,1.94635362812481,0.176315789473684
"RAM","ALSKABSAI","East Bering Sea","Alaska skate","Bathyraja parmifera",2014,3461.811746,2.06349448970546,2.32480309317377
"RAM","AMPL23K","Labrador - Newfoundland","American plaice","Hippoglossoides platessoides",2011,3862.178054,0.494625517580256,0.00889897756553046
"RAM","AMPL4VWX","Scotian Shelf","American plaice","Hippoglossoides platessoides",2009,5113,0.726747353331604,0.0448640314882795
"RAM","AMPL5YZ","Northeast U.S. Continental Shelf","American plaice","Hippoglossoides platessoides",2014,2675,0.839246204318303,0.612244897959184
"RAM","ANCHIXa","Iberian Coastal","Anchovy","Engraulis encrasicolus",2014,11703.99346,2.04823409206334,0.465735832480828
"RAM","ANCHMEDGSA1","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2009,354.3976402,0.482264358274515,2.32352290329719
"RAM","ANCHMEDGSA16","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2011,2359,0.669,2.76835216898324
"RAM","ANCHMEDGSA17-18","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2014,11507.02832,1.13966114956491,2.60416666666667
"RAM","ANCHMEDGSA22","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2008,20384.12226,1.53634378642001,0.782322210978478
"RAM","ANCHMEDGSA29","Black Sea","Anchovy","Engraulis encrasicolus",2014,278390.5644,0.776659651495832,1.88571428571429
"RAM","ANCHMEDGSA6","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2014,12649.93968,1.04093309859155,0.894991100940758
"RAM","ANCHMEDGSA7","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2011,12690.02444,1.08931219861842,0.128043766469381
"RAM","ANCHMEDGSA9","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2014,4109.756567,0.949894265233849,2.59615384615385
"RAM","ANCHOBAYB","Celtic-Biscay Shelf","Anchovy","Engraulis encrasicolus",2014,36069.55982,0.946067415730337,0.965545121638209
"RAM","ANCHOSA","Agulhas Current","Anchovy","Engraulis encrasicolus",2014,455853.677,1.79478012054366,0.244757389187506
"RAM","ANGLMEDGSA5","Mediterranean Sea","Black bellied angler","Lophius budegassa",2013,19.0185877,0.562552029220156,7.6375
"RAM","ANGLMEDGSA6","Mediterranean Sea","Black bellied angler","Lophius budegassa",2013,852.6034871,1.31015605030041,6.49285714285714
"RAM","APOLLNSJ","Sea of Japan","Walleye pollock","Gadus chalcogrammus",2013,45206.50965,0.108680924912147,1.4113306832156
"RAM","APOLLPJPN","Kuroshio Current","Walleye pollock","Gadus chalcogrammus",2013,176347.6986,1.51903403024479,0.985221674876845
