"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","year","msy_mt","bmsy_mt","umsy","bbmsy","uumsy","biomass_mt","catch_mt","er","r_est","k_mt_est","msy_mt_est"
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Sebastes fasciatus","Acadian redfish",2014,10466,832312.0387,0.012574611,1.173909331512,0.394736842105263,977058.868947609,5090,0.00520951209980054,0.0150895332,2071058.69213798,10466.0001172694
"ACMACKSARG","Argentine chub mackerel Southern Argentina","Argentina","South America","Patagonian Shelf","Southern Argentina","Argentina-CFP-ARG-S","Scomber colias","Argentine chub mackerel",2014,8745.165542,117161.0671,0.074642249,1.52808988764045,0.2125,159000,6640,0.0417610062893082,0.0895706988,291534.226486272,8745.16554358391
"AFLONCH","Alfonsino Chile","multinational","South America","Humboldt Current","Chile","multinational-SPRFMO-CHL","Beryx splendens","Alfonsino",2011,1277.516865,18091.49094,0.070614239,0.641185408017013,0.249046185947734,11600,204,0.0175862068965517,0.0847370868,45017.4187358208,1277.51686510349
"ALBAIO","Albacore tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Thunnus alalunga","Albacore tuna",2014,38800,503470.3079,0.077065121,1.8,0.846,907713.790376431,39400,0.043405752361282,0.0924781452,1252795.23655373,38800.0001982208
"ALBAMED","Albacore tuna Mediterranean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Mediterranean Sea","multinational-ICCAT-MED","Thunnus alalunga","Albacore tuna",2011,28900,167158.4812,0.172889822,1.21,1.81,319000,4630,0.0145141065830721,0.2074677864,415943.791939584,28900.0000604583
"ALBANATL","Albacore tuna Northern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Northern Atlantic","multinational-ICCAT-NATL","Thunnus alalunga","Albacore tuna",2014,37897.71314,416186.6209,0.091059422,1.34,0.538,559000,26700,0.0477638640429338,0.1092713064,1035605.49251789,37897.7131432871
"ALBASATL","Albacore tuna South Atlantic","multinational","Atlantic Ocean","South Atlantic Ocean","South Atlantic","multinational-ICCAT-SATL","Thunnus alalunga","Albacore tuna",2012,25147.5,184107.5,0.136591394,1.2,0.697,149000,25100,0.168456375838926,0.1639096728,458118.3744,25147.500070855
"ALBASPAC","Albacore tuna South Pacific Ocean","multinational","Pacific Ocean","South Pacific Ocean","South Pacific Ocean","multinational-WCPFC-SPAC","Thunnus alalunga","Albacore tuna",2013,76800,749301.0117,0.102495524,2.86,0.47,2269172.25129457,84800,0.0373704552184707,0.1229946288,1864500.69343334,76799.9998279216
"ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Pleuronectes quadrituberculatus","Alaska plaice",2014,26295.89301,273632.3143,0.09609937,1.93766454942782,NA,485000,19400,0.04,0.115319244,680884.760318976,26295.893015872
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Bathyraja parmifera","Alaska skate",2014,3461.811746,168424.5125,0.020554085,2.06349448970546,2.32480309317377,519000,24800,0.0477842003853565,0.024664902,419094.082944,3461.81174600856
